stratum,contrast,metric,difference,ci95_low,bootstrap_median,ci95_high,probability_difference_below_zero
incipient,motion_minus_centered_equal_state,area90_km2,80000.0,,,,
incipient,motion_minus_centered_equal_state,rms_about_centroid_km,12.502225240130315,,,,
incipient,motion_minus_centered_equal_state,centroid_x_km,47.186756694660076,,,,
incipient,motion_minus_centered_equal_state,centroid_y_km,-382.8422701068199,,,,
incipient,motion_minus_centered_equal_state,centroid_distance_km,-39.14065430462239,,,,
incipient,motion_minus_centered_equal_state,anisotropy_axis_ratio,0.025102973489335545,,,,
incipient,motion_minus_centered_equal_cyclone,entropy_nats,0.033096134978725544,,,,
incipient,motion_minus_centered_equal_cyclone,area50_km2,65000.0,,,,
incipient,motion_minus_centered_equal_cyclone,area75_km2,90000.0,,,,
incipient,motion_minus_centered_equal_cyclone,area90_km2,77500.0,,,,
incipient,motion_minus_centered_equal_cyclone,rms_about_centroid_km,13.677199966397438,,,,
incipient,motion_minus_centered_equal_cyclone,centroid_x_km,54.155384653064345,,,,
incipient,motion_minus_centered_equal_cyclone,centroid_y_km,-395.61408019929075,,,,
incipient,motion_minus_centered_equal_cyclone,centroid_distance_km,-42.35394664404248,,,,
incipient,motion_minus_centered_equal_cyclone,anisotropy_axis_ratio,0.0063408814784364775,,,,
intensification,centered_equal_cyclone_minus_equal_state,entropy_nats,0.023909625626982844,,,,
intensification,centered_equal_cyclone_minus_equal_state,area50_km2,32500.0,,,,
intensification,centered_equal_cyclone_minus_equal_state,area75_km2,55000.0,,,,
intensification,centered_equal_cyclone_minus_equal_state,area90_km2,50000.0,,,,
intensification,centered_equal_cyclone_minus_equal_state,rms_about_centroid_km,35.62268929755885,,,,
intensification,centered_equal_cyclone_minus_equal_state,centroid_x_km,-27.8688434860442,,,,
intensification,centered_equal_cyclone_minus_equal_state,centroid_y_km,-13.572504949655297,,,,
intensification,centered_equal_cyclone_minus_equal_state,centroid_distance_km,2.4892828880606714,,,,
intensification,centered_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,-0.019279194709085568,,,,
intensification,motion_equal_cyclone_minus_equal_state,entropy_nats,0.030355050375058923,,,,
intensification,motion_equal_cyclone_minus_equal_state,area50_km2,47500.0,,,,
intensification,motion_equal_cyclone_minus_equal_state,area75_km2,60000.0,,,,
intensification,motion_equal_cyclone_minus_equal_state,area90_km2,62500.0,,,,
intensification,motion_equal_cyclone_minus_equal_state,rms_about_centroid_km,37.97372025832635,,,,
intensification,motion_equal_cyclone_minus_equal_state,centroid_x_km,24.227318331127634,,,,
intensification,motion_equal_cyclone_minus_equal_state,centroid_y_km,-13.771426090881391,,,,
intensification,motion_equal_cyclone_minus_equal_state,centroid_distance_km,-5.833476287794525,,,,
intensification,motion_equal_cyclone_minus_equal_state,anisotropy_axis_ratio,0.0006462787212659915,,,,
